stimulus,List,Concrete_m,Concrete_sd,Number_of_ratings,Number_of_N-respones,Number_of_subjects
aai,4,4.07,1.21,14,1,15
aaien,5,4.13,0.99,15,0,15
aak,1,4.67,0.52,6,9,15
aal,5,4.69,0.63,13,2,15
aalbes,2,4.73,0.59,15,0,15
aalglad,2,2.64,1.28,14,1,15
aalmoes,4,3.38,1.12,13,2,15
aalmoezenier,2,2.87,1.30,15,0,15
aalscholver,3,4.27,1.01,11,4,15
aalt,1,5.00,0.00,4,11,15
aambeeld,2,3.79,1.31,14,1,15
aambei,2,4.13,1.06,15,0,15
aambeien,4,4.43,0.51,14,1,15
aamborstig,3,1.50,0.84,6,9,15
aan,3,1.93,1.03,15,0,15
aanbaksel,2,3.93,1.03,15,0,15
aanbedene,3,1.93,1.07,14,1,15
aanbelanden,5,2.67,1.35,15,0,15
aanbelangen,3,2.07,0.96,15,0,15
aanbellen,2,4.13,0.74,15,0,15
aanbesteden,5,2.00,1.15,13,2,15
aanbesteding,1,2.13,1.36,15,0,15
aanbetaling,2,2.00,0.93,15,0,15
aanbevelen,4,2.00,0.93,15,0,15
aanbeveling,1,2.20,1.26,15,0,15
aanbiddelijk,5,1.67,0.72,15,0,15
aanbidden,5,2.33,1.05,15,0,15
aanbidder,2,2.60,1.12,15,0,15
aanbidding,3,2.07,1.03,15,0,15
aanbieden,4,2.73,1.03,15,0,15
aanbieding,1,2.80,1.21,15,0,15
aanblijven,3,2.27,1.03,15,0,15
aanblik,2,2.60,0.91,15,0,15
aanbod,3,2.13,0.99,15,0,15
aanboren,4,2.87,0.99,15,0,15
aanbouw,2,3.50,1.34,14,1,15
aanbraden,5,3.53,1.13,15,0,15
aanbranden,2,3.87,0.99,15,0,15
aanbreken,3,1.87,0.83,15,0,15
aanbrengen,2,2.33,1.23,15,0,15
aandacht,2,1.87,0.83,15,0,15
aandachtig,4,2.13,0.83,15,0,15
aandachtspunt,1,2.00,1.25,15,0,15
aandeel,4,2.33,0.82,15,0,15
aandeelhouder,1,2.73,1.62,15,0,15
aandelen,4,2.53,0.92,15,0,15
aandenken,4,2.33,1.18,15,0,15
aandikken,2,3.33,0.98,15,0,15
aandoen,1,3.60,1.12,15,0,15
aandoening,2,2.20,1.08,15,0,15
aandoenlijk,3,1.47,0.64,15,0,15
aandraaien,3,3.13,1.25,15,0,15
aandrang,3,1.93,1.16,15,0,15
aandraven,5,2.79,1.19,14,1,15
aandrift,3,1.83,1.11,12,3,15
aandrijven,3,2.53,1.06,15,0,15
aandrijving,1,3.33,1.18,15,0,15
aandringen,4,2.73,1.28,15,0,15
aandrukken,3,3.40,1.24,15,0,15
aanduiden,2,3.67,0.90,15,0,15
aanduiding,2,2.60,0.99,15,0,15
aandurven,1,2.13,1.13,15,0,15
aaneen,2,2.27,1.10,15,0,15
aanflitsen,2,2.91,1.22,11,4,15
aanfluiting,2,2.17,1.03,12,3,15
aangaan,5,2.07,0.96,15,0,15
aangaande,4,1.27,0.46,15,0,15
aangapen,1,3.80,1.01,15,0,15
aangebonden,4,2.71,1.07,14,1,15
aangeboren,5,1.60,0.63,15,0,15
aangedaan,4,2.07,0.88,15,0,15
aangeklaagde,3,2.13,1.19,15,0,15
aangelegenheid,4,2.00,0.96,14,1,15
aangenaam,5,1.73,1.10,15,0,15
aangeschoten,5,2.87,0.83,15,0,15
aangeslagen,4,2.33,1.23,15,0,15
aangetrouwd,1,2.47,1.46,15,0,15
aangeven,5,2.60,1.18,15,0,15
aangever,5,2.54,1.13,13,2,15
aangewezen,2,1.80,0.86,15,0,15
aangezicht,1,4.20,0.56,15,0,15
aangezien,4,1.29,0.47,14,1,15
aangifte,4,2.67,1.35,15,0,15
aangrenzend,1,3.00,0.93,15,0,15
aangrijpen,1,2.53,1.06,15,0,15
aangrijpend,4,2.27,0.88,15,0,15
aangroei,3,2.53,1.25,15,0,15
aangroeien,1,3.00,1.07,15,0,15
aanhalen,5,2.20,0.77,15,0,15
aanhalerig,4,1.67,0.65,12,3,15
aanhalig,1,1.85,1.14,13,2,15
aanhalingsteken,2,3.73,1.33,15,0,15
aanhang,5,2.07,1.10,15,0,15
aanhangen,2,2.80,1.26,15,0,15
aanhanger,4,2.57,1.45,14,1,15
aanhangig,2,2.23,1.01,13,2,15
aanhangsel,3,2.67,1.11,15,0,15
aanhangwagen,4,4.67,0.49,15,0,15
aanhankelijk,2,2.27,1.03,15,0,15
aanhebben,4,3.00,1.31,15,0,15
aanhef,1,2.60,1.24,15,0,15
aanheffen,1,2.13,0.83,15,0,15
aanhikken,4,2.11,1.05,9,6,15
aanhoren,5,2.80,1.01,15,0,15
aanhorig,2,1.85,0.80,13,2,15
aanhouden,2,2.53,0.83,15,0,15
aanhoudend,4,1.87,0.92,15,0,15
aanhouder,1,2.53,1.30,15,0,15
aanhouding,1,3.00,1.25,15,0,15
aanjagen,3,2.14,1.17,14,1,15
aankaarten,4,2.13,0.92,15,0,15
aankijken,2,3.33,1.05,15,0,15
aanklacht,3,2.27,1.10,15,0,15
aanklagen,4,2.27,0.96,15,0,15
aanklager,3,2.73,1.39,15,0,15
aanklampen,1,3.47,0.99,15,0,15
aankleden,3,3.53,0.99,15,0,15
aanklikken,1,4.00,1.00,15,0,15
aankloppen,4,3.73,1.22,15,0,15
aanknopen,5,2.60,0.83,15,0,15
aankoeken,5,3.27,1.16,15,0,15
aankomen,3,2.73,1.03,15,0,15
aankomend,4,2.00,1.20,15,0,15
aankomst,4,3.07,1.03,15,0,15
aankondigen,5,3.00,1.41,15,0,15
aankondiging,2,2.20,0.68,15,0,15
aankoop,2,3.00,1.31,15,0,15
aankopen,3,2.73,1.10,15,0,15
aankruisen,2,3.93,0.59,15,0,15
aankunnen,4,2.13,0.83,15,0,15
aanleg,4,1.80,0.86,15,0,15
aanleggen,5,2.87,1.36,15,0,15
aanleiding,4,1.87,0.83,15,0,15
aanlengen,4,2.73,1.10,15,0,15
aanleren,2,2.33,1.18,15,0,15
aanleunen,1,3.33,1.18,15,0,15
aanloggen,5,2.50,1.51,14,1,15
aanlokkelijk,2,1.73,0.96,15,0,15
aanloop,4,2.87,1.13,15,0,15
aanlopen,3,3.13,1.06,15,0,15
aanmaak,4,2.62,0.96,13,2,15
aanmaken,1,3.13,1.41,15,0,15
aanmanen,4,2.64,1.28,14,1,15
aanmaning,4,2.43,0.85,14,1,15
aanmatigen,1,2.17,1.19,12,3,15
aanmatigend,2,2.00,0.85,12,3,15
aanmelden,5,2.67,1.05,15,0,15
aanmelding,2,2.40,1.06,15,0,15
aanmeren,4,3.50,1.29,14,1,15
aanmerkelijk,2,1.50,0.52,14,1,15
aanmerken,1,2.47,1.06,15,0,15
aanmerking,2,1.43,0.51,14,1,15
aanmodderen,1,2.27,1.28,15,0,15
aanmoedigen,4,2.87,1.06,15,0,15
aanmoedigend,1,2.60,1.06,15,0,15
aanmoediging,1,2.67,1.29,15,0,15
aanmonsteren,3,1.67,0.98,12,3,15
aannaaien,1,3.36,1.22,14,1,15
aanname,2,1.67,0.90,15,0,15
aannemelijk,5,1.27,0.59,15,0,15
aannemen,2,2.13,0.99,15,0,15
aannemer,1,3.07,1.28,15,0,15
aanpak,1,2.33,1.35,15,0,15
aanpakken,3,2.47,1.36,15,0,15
aanpalend,4,2.69,1.03,13,2,15
aanpappen,1,2.53,1.13,15,0,15
aanpassen,2,2.33,0.98,15,0,15
aanpassing,1,2.33,1.11,15,0,15
aanplakbiljet,2,3.93,1.28,15,0,15
aanplant,4,3.25,1.14,12,3,15
aanplanten,2,3.07,1.10,15,0,15
aanporren,5,3.53,1.19,15,0,15
aanpoten,5,2.58,1.31,12,3,15
aanpraten,4,2.00,0.65,15,0,15
aanprijzen,3,2.33,1.18,15,0,15
aanraden,1,2.33,1.18,15,0,15
aanrader,4,2.27,1.03,15,0,15
aanraken,3,3.73,1.22,15,0,15
aanraking,2,4.00,0.76,15,0,15
aanranden,4,3.27,1.16,15,0,15
aanrander,3,3.07,1.22,15,0,15
aanranding,3,2.53,1.19,15,0,15
aanrecht,5,4.40,0.83,15,0,15
aanreiken,5,3.47,1.19,15,0,15
aanrekenen,1,2.33,1.18,15,0,15
aanrennen,2,2.87,1.25,15,0,15
aanrichten,3,2.33,1.05,15,0,15
aanrijden,4,3.43,1.09,14,1,15
aanrijding,4,4.07,0.96,15,0,15
aanroepen,3,2.57,1.22,14,1,15
aanroeren,5,2.64,1.28,14,1,15
aanrommelen,3,2.21,1.05,14,1,15
aanrukken,1,2.67,1.23,15,0,15
aanschaf,3,2.07,1.07,14,1,15
aanschaffen,2,2.27,0.96,15,0,15
aanscherpen,5,3.33,1.05,15,0,15
aanschieten,3,2.43,1.16,14,1,15
aanschijn,2,1.60,0.91,15,0,15
aanschouwen,2,2.53,1.19,15,0,15
aanschrijven,5,2.92,1.24,12,3,15
aanschuiven,3,3.27,1.28,15,0,15
aansjouwen,1,3.08,1.19,13,2,15
aanslaan,3,2.20,1.08,15,0,15
aanslag,4,3.00,0.96,14,1,15
aanslepen,2,1.93,0.70,15,0,15
aanslibben,5,3.07,1.22,15,0,15
aansluiten,4,2.73,1.22,15,0,15
aansluiting,2,2.73,1.16,15,0,15
aansmeren,2,2.33,0.82,15,0,15
aansnijden,1,3.67,0.90,15,0,15
aanspannen,2,2.93,1.28,15,0,15
aanspoelen,4,3.13,1.19,15,0,15
aansporen,4,2.67,1.23,15,0,15
aansporing,5,2.07,0.80,15,0,15
aanspraak,3,1.73,0.70,15,0,15
aansprakelijk,2,1.60,0.63,15,0,15
aanspreken,1,3.47,1.13,15,0,15
aanstaan,1,2.20,1.32,15,0,15
aanstaand,5,1.40,0.83,15,0,15
aanstaande,3,2.13,1.30,15,0,15
aanstaren,1,3.87,0.92,15,0,15
aanstekelijk,1,2.07,0.80,15,0,15
aansteken,1,3.80,1.15,15,0,15
aansteker,1,4.73,0.46,15,0,15
aanstellen,4,2.33,0.98,15,0,15
aansteller,3,2.13,1.19,15,0,15
aanstellerig,5,1.67,0.82,15,0,15
aanstellerij,5,2.00,0.85,15,0,15
aanstelling,4,1.93,0.88,15,0,15
aansterken,2,2.13,0.83,15,0,15
aanstichten,5,2.08,1.04,13,2,15
aanstichter,2,2.36,1.22,14,1,15
aanstippen,3,3.47,1.30,15,0,15
aanstoken,1,2.87,1.30,15,0,15
aanstoker,1,2.86,1.10,14,1,15
aanstonds,1,1.54,0.97,13,2,15
aanstoot,2,1.87,0.74,15,0,15
